Na,Cl,Water,Fe,Cu
3.54744583,1.24826072,1.64104085,8.80682364,8.9957743
3.528377,1.26454773,1.64761328,8.77650176,8.99577221
3.49886575,1.27220769,1.64486927,8.68662067,8.94762331
3.45991369,1.27157244,1.63303992,8.54217849,8.85224621
3.41199561,1.26371536,1.61262356,8.34875976,8.71246214
3.35727705,1.25021209,1.58498735,8.12284722,8.53981674
3.2978181,1.23282099,1.55176375,7.87484899,8.34217218
3.2362854,1.21330065,1.51509038,7.62249532,8.13359166
3.17316191,1.19232059,1.47585109,7.38222833,7.92787214
3.11045381,1.17056831,1.43582124,7.16018144,7.73038219
3.04913801,1.14798888,1.39609955,6.96828926,7.55189802
2.99044863,1.12439074,1.35785681,6.80642457,7.3925981
2.93359769,1.09868994,1.32082853,6.67845503,7.25686207
2.87953613,1.07058866,1.28577516,6.57978373,7.14090465
2.82859967,1.03979719,1.25297299,6.50819317,7.04382208
2.78162996,1.0067139,1.22297355,6.45939869,6.96324224
2.73805828,0.97103409,1.19541888,6.42732935,6.89426533
2.6987638,0.93373751,1.17089376,6.40759598,6.83536845
2.66402698,0.89564628,1.14962846,6.39484428,6.78285272
2.63425402,0.85802724,1.13194568,6.38474817,6.73588584
2.60876223,0.82094515,1.11753253,6.37286695,6.69208313
2.5876169,0.78553212,1.10651621,6.35582409,6.65134664
2.57038193,0.75237969,1.09869754,6.33034541,6.61211513
2.55662574,0.72220127,1.0938024,6.29457349,6.57426113
2.54544752,0.69460868,1.09133448,6.24816086,6.53767957
2.53637548,0.66998888,1.09089891,6.19046268,6.50117549
2.52882134,0.64824695,1.09200155,6.12411073,6.46509116
2.52233848,0.62934469,1.09411218,6.05022332,6.42833836
2.51638995,0.61259031,1.09678486,5.97349865,6.39143841
2.51075751,0.59784999,1.09954076,5.89598777,6.35355611
2.50527463,0.58479192,1.10197094,5.82286739,6.31556998
2.49994774,0.57324728,1.10372311,5.75590885,6.2769759
2.49472217,0.56277553,1.10457959,5.69850988,6.23857388
2.48978642,0.55338569,1.10434979,5.65278691,6.20121146
2.48531339,0.54504186,1.10294825,5.6184869,6.16455154
2.48150425,0.53783549,1.10039179,5.59602225,6.12965857
2.4783873,0.53166659,1.09666306,5.58378033,6.09595721
2.47600915,0.52665417,1.09184953,5.5802217,6.06406897
2.47423594,0.52279394,1.08603348,5.58301853,6.0330561
2.47279716,0.52003641,1.07937457,5.58974727,6.00278589
2.47124158,0.51817348,1.07182145,5.59777765,5.97296435
2.46905289,0.51701132,1.06352538,5.60482941,5.94231287
2.46564284,0.516268,1.05457653,5.60850883,5.91080865
2.46049356,0.51564895,1.04516983,5.60683252,5.87722226
2.45299164,0.51486617,1.03521169,5.5980731,5.84180706
2.44279805,0.51371622,1.02490264,5.580603,5.80359044
2.42970985,0.51209419,1.01435327,5.55376904,5.76334499
2.41391481,0.51004556,1.00378887,5.5165119,5.72048912
2.39532678,0.50767908,0.99311595,5.469151,5.67593125
2.37456624,0.50527828,0.98258334,5.41304984,5.63087172
2.35231684,0.50318512,0.97235174,5.34840195,5.58527899
2.32966526,0.50178103,0.96270042,5.27836676,5.54105983
2.30709437,0.50138374,0.95362919,5.20371166,5.49829246
2.28581562,0.50229145,0.94544616,5.12827039,5.45873372
2.26673292,0.50467531,0.93834287,5.05273127,5.42228788
2.25072169,0.50852669,0.9325259,4.97982459,5.38986782
2.23790892,0.51382425,0.92796589,4.91172131,5.36196404
2.22860529,0.52030087,0.92474024,4.84795933,5.33797065
2.22257916,0.52760695,0.92276988,4.79023045,5.31813468
2.21927736,0.53522951,0.92189322,4.73725299,5.30164395
2.21778125,0.54284909,0.92185759,4.6896435,5.28834728
2.21709542,0.54990242,0.92239546,4.64570571,5.27744629
2.21611226,0.55594084,0.92321109,4.60553214,5.26866284
2.21381518,0.56055286,0.92401899,4.56751085,5.26135124
2.20927761,0.56357099,0.92460406,4.53142063,5.25519126
2.20186895,0.56480121,0.92478562,4.49716799,5.24985118
2.19122637,0.56423427,0.92446082,4.46384767,5.24485457
2.17743268,0.5620078,0.92360407,4.43216381,5.23993588
2.16038488,0.55826797,0.92221485,4.4016605,5.23460346
2.14060305,0.55327229,0.92035602,4.37324991,5.22856841
2.11863745,0.54727264,0.91810944,4.34664823,5.22131267
2.0953811,0.5405672,0.91559754,4.32262377,5.21264247
2.0710411,0.53319308,0.91287031,4.30077587,5.20212414
2.04654352,0.52533678,0.91006115,4.28129691,5.18971487
2.02254588,0.51707186,0.90728772,4.26413068,5.17560351
1.99986794,0.50853496,0.90470557,4.24858731,5.15968805
1.97854511,0.49959656,0.90240494,4.23459712,5.14260099
1.95922255,0.49041452,0.90057046,4.22148452,5.12436481
1.94219168,0.48110237,0.8993633,4.20918819,5.1057054
1.92776243,0.47191471,0.89893501,4.19719934,5.08649633
1.9156974,0.4628606,0.89939968,4.18546523,5.06701445
1.90611606,0.45425713,0.90084246,4.17396826,5.04733441
1.89889116,0.44632397,0.90327396,4.16234098,5.02670081
1.89387574,0.43932057,0.90658711,4.15065633,5.00501232
1.8907473,0.43324474,0.91069852,4.1384449,4.98119058
1.88934435,0.42825337,0.91534481,4.12566727,4.95510223
1.88946784,0.42435627,0.92022381,4.1117263,4.92569785
1.89094331,0.42151914,0.92493844,4.09657834,4.89328829
1.89370588,0.41956614,0.92921543,4.07962892,4.8572029
1.8977027,0.41836686,0.93263403,4.06083682,4.81807975
1.90291859,0.41772588,0.93485008,4.04035402,4.77698157
1.9092562,0.41743651,0.93556709,4.01781058,4.7339284
1.9167571,0.41728999,0.93456461,3.99381544,4.69080162
1.92515113,0.4171062,0.93165864,3.96808493,4.64776547
1.93405551,0.41673459,0.92675381,3.94136905,4.60666209
1.94279797,0.4160777,0.91990974,3.91332547,4.56744509
1.95078039,0.41506719,0.91103743,3.88439403,4.5311026
1.95696493,0.413705,0.90032269,3.85501191,4.49821416
1.96032013,0.41203648,0.88796322,3.82468253,4.46804994
1.95986284,0.41016692,0.87437209,3.79414252,4.44089017
1.95472032,0.4081697,0.85959608,3.76292386,4.41558915
1.94425891,0.40618948,0.84415051,3.73188942,4.39190326
1.92820501,0.40435176,0.82845241,3.70070538,4.3684628
1.90692227,0.40278278,0.81308783,3.67037877,4.34484681
1.88047246,0.40153692,0.79815335,3.64070592,4.3197079
1.84988883,0.4006876,0.78418601,3.61243933,4.29254694
1.81626017,0.40025387,0.77149833,3.58624686,4.26313827
1.78117536,0.40021413,0.76042559,3.56193011,4.23057808
1.74513739,0.40050817,0.75087454,3.54023349,4.19550083
1.70964767,0.40103985,0.74300891,3.52085607,4.15742099
1.67568359,0.40167494,0.73678195,3.5042309,4.11759187
1.64431628,0.40224439,0.73211274,3.48995177,4.07587591
1.61542688,0.40257667,0.72872678,3.47816083,4.03393921
1.58966712,0.4024723,0.72645984,3.46839241,3.99181978
1.56716381,0.40174565,0.72506849,3.4605009,3.95087079
1.54807228,0.40025566,0.72430529,3.4542259,3.9123535
1.53185867,0.39785315,0.72390495,3.44909675,3.87625381
1.51850841,0.3944851,0.7236356,3.44486681,3.8439576
1.50772958,0.39015178,0.72326975,3.44108759,3.81531493
1.49925982,0.38497756,0.72260849,3.43748456,3.79126814
1.492554,0.37898253,0.72145547,3.43364291,3.77152591
1.48731536,0.37239295,0.71965929,3.42928583,3.75640429
1.48314262,0.36541938,0.7170964,3.42420106,3.74587501
1.47967884,0.35835937,0.71372025,3.41807581,3.73945469
1.47649444,0.3512854,0.70941763,3.41090152,3.73687129
1.47331388,0.34446821,0.70422028,3.40247581,3.73753776
1.46988548,0.33807146,0.69817708,3.3929971,3.74081503
1.46607205,0.33227221,0.69145668,3.38236787,3.74606831
1.46169284,0.32702379,0.68405944,3.37095053,3.75246664
1.45675555,0.32241629,0.67623022,3.35867479,3.75941518
1.45129711,0.31843535,0.66818019,3.3457994,3.76616286
1.44546987,0.31506456,0.6602246,3.33254729,3.77203803
1.43928099,0.31216243,0.65244393,3.31863322,3.7766428
1.43293766,0.3096807,0.6451681,3.30421406,3.77947438
1.42659238,0.30753109,0.63863264,3.28874291,3.78028511
1.42038398,0.30563263,0.63304739,3.2721867,3.77886167
1.41448156,0.30393579,0.62862152,3.2537837,3.77507683
1.40883095,0.30235853,0.62537831,3.23326048,3.76893108
1.40351156,0.30089092,0.62341764,3.21048024,3.76060924
1.39848435,0.29952076,0.62271033,3.18470695,3.75010883
1.39370312,0.2982581,0.62313488,3.15637447,3.73788217
1.38892601,0.29707608,0.62450916,3.12501893,3.72397638
1.38402083,0.29598059,0.6265704,3.09162778,3.70900743
1.37878447,0.29495025,0.62900003,3.05608955,3.69301391
1.37307663,0.29395599,0.63142487,3.01988797,3.67664331
1.36660272,0.2929203,0.63354616,2.98318248,3.65982748
1.35928787,0.2917817,0.63501357,2.94732259,3.64291569
1.3510706,0.2904619,0.6355566,2.91361013,3.62614982
1.34207165,0.28890413,0.63499289,2.88221575,3.6091281
1.33222156,0.28701797,0.63320686,2.85447269,3.59202419
1.32181822,0.28478566,0.63018734,2.83029089,3.57421075
1.31115269,0.28220964,0.62601226,2.810386,3.55572008
1.30068255,0.27936226,0.62089188,2.79430117,3.53582331
1.29057014,0.27626431,0.61492645,2.78205859,3.51462603
1.28130036,0.27305685,0.60840209,2.77286034,3.49148262
1.27320506,0.26987606,0.60156277,2.76611064,3.46653369
1.26659582,0.2668972,0.59470582,2.76098723,3.44015839
1.26147611,0.26419846,0.5878797,2.75646287,3.41208494
